EventLocation,ExternalMentions_Number
WE,2627796
ET,1277664
DA,1399893
ES,586047
EU,6
UG,1164192
BL,988192
GR,7604914
TX,316739
PF,22149
PK,8447952
PL,3527652
SH,4350
PM,1204399
MQ,20
NT,1015
DQ,177
MC,73331
FP,22500
TH,2446457
AN,52939
BG,2965729
EZ,995375
HU,2040614
BH,112499
MZ,369675
GK,56955
WQ,1867
HO,797852
BX,598777
KG,372750
LH,521111
MH,33888
BE,6855342
JA,8785906
MG,231218
BA,995461
TL,3100
TE,10
KQ,10
BP,41207
BY,729727
GM,16962685
AO,433661
CN,27070
SE,103904
KV,417286
WS,61617
ML,1158778
FM,35555
NI,3304697
MI,209574
GP,223870
RW,704434
AC,91768
TS,1823848
GV,362110
PO,1453044
MR,262049
CE,881173
DO,105010
BU,763780
PG,12718
HA,1029528
IZ,11576384
JE,604770
TO,149271
KZ,867274
BB,100121
MD,476049
LU,496485
CM,626892
BD,89592
SV,20219
IC,304443
RB,1225872
MO,1660924
CJ,52194
GI,143143
MK,1225285
CW,17000
FQ,45
CT,448539
NG,652744
PC,7240
SN,2089483
NF,4312
GG,268272
BT,125414
DJ,393776
MX,9535958
JO,2798571
TW,1295627
SZ,3978182
FJ,215053
BR,4551243
AG,1029467
NO,1690092
FO,10495
FI,1082708
SB,863
TZ,633499
BQ,5
LO,452567
LI,382999
GB,158050
GL,100544
IM,10495
FG,11216
IS,19895109
OC,54939
WA,229948
SM,10610
IO,1883
EG,9161165
GH,858921
UK,27170083
PU,54211
AS,7061786
NU,652753
RP,3559164
TD,211055
FK,2685
EN,462824
BC,201465
UZ,494762
TP,17701
SA,10826238
SI,378054
AL,837936
AY,95037
LS,26320
HQ,2890
IN,5802963
AV,12773
HR,1001910
GJ,72922
MB,36256
YI,36480
OS,496814
LE,3209018
AR,2480693
JM,442076
CS,236302
KE,2513601
BV,72
VM,2781793
RE,132535
JN,56
KT,24614
QA,2400546
NL,3261338
AJ,973645
CV,30546
EC,1129952
CO,3635426
ER,335565
AE,2081048
DR,305036
UV,483247
EK,90300
CA,8814392
CU,4570462
CR,20
RI,963570
SP,7729432
MY,2574560
SC,4834
UY,611370
NS,34538
CQ,5341
NC,26251
TU,19432129
SF,3339922
MU,738020
TN,71153
TV,23845
BN,205753
CY,1072205
TK,23844
KN,8745361
CH,22282336
SY,27280522
BF,319224
CF,695087
NR,260709
AQ,28647
SL,253301
RN,13973
JQ,502
RS,35918910
IR,15768692
NE,4851
MA,169413
GY,160055
LG,378498
FR,22294510
UP,6886866
CB,895149
IT,9427939
OD,860293
RQ,1011424
GA,558556
HK,880076
PP,334498
IV,446010
BO,1387715
NH,82227
IP,18
AM,1198597
AF,8820655
MJ,218415
VT,299853
ST,19407
AA,43353
LT,85050
VE,4643094
VI,37591
EI,3575825
MT,550716
US,52485933
MF,13517
ZI,1679664
LY,3939014
ZA,321677
WF,31
WZ,51443
SW,4652846
WI,74683
LQ,79
ID,4261497
VC,54373
KS,6193778
GZ,787611
NZ,1577936
RO,1420719
SG,582733
KU,1226504
MV,331329
PE,2080228
VQ,39131
SU,1953820
BK,323476
MN,143677
BM,1478874
CD,725890
TT,105231
PS,79232
RM,51864
CG,314900
LA,374604
NP,1282228
TI,272887
PA,519474
GQ,212445
AU,2668867
CI,2256901
SO,2021136
GT,1107351
KR,47797
MP,653024
YM,5369768
