EventLocation,ProtestMentions_Number
FJ,512
FO,1
KV,1793
SW,4097
BY,515
GK,6
LA,6
BO,5382
NC,7
SH,9
BN,265
MH,10
VT,10
TN,10
GV,2570
OD,523
EC,4364
TP,13
MJ,14
VI,14
GL,15
CF,271
CE,8976
BP,17
MF,19
MT,1301
UP,85013
MN,22
SM,22
SA,2584
VC,25
DO,25
KG,1049
NG,282
KN,541
ZA,1309
MU,542
BH,798
BM,2334
CN,32
SC,33
AV,33
PO,5665
CV,34
MV,290
LO,1570
BU,17187
VQ,36
MO,8996
DJ,37
LY,1317
CW,39
TO,2855
ML,7720
NZ,6697
AO,554
SZ,7978
EI,11306
GA,814
ET,2351
SG,2864
PK,48435
BD,309
GM,24374
TD,1335
HU,2615
MB,58
US,1930298
BT,59
LH,2619
LU,572
BK,572
JE,61
IV,1088
MI,1600
MR,1600
IZ,13633
FP,66
TZ,578
RP,24642
GG,579
CJ,68
BR,51780
TH,2885
NL,5704
MG,73
IS,270665
KE,11594
BF,1101
LI,1102
CY,2894
MA,336
KS,8272
GJ,81
CS,593
SP,42834
PP,85
EZ,9301
UY,1111
AM,10327
GI,88
KZ,1112
SN,2136
UK,107098
ID,14941
CB,2145
LT,99
SU,3427
NO,3172
PA,1381
CH,15718
NS,360
GH,11626
AN,107
SE,108
BA,620
GY,877
MK,15469
TX,113
PE,7537
RE,114
NI,66418
IT,32628
MC,117
AE,2936
WA,633
SO,1916
RQ,126
MP,639
GB,639
HO,4227
UV,9603
BB,388
BE,7047
UG,2441
SY,6281
YM,6794
WS,140
TU,27276
CG,909
CU,2702
QA,912
WZ,145
BX,147
AU,1173
NU,3989
ZI,13974
CD,152
NP,5017
JA,3227
CI,4509
ST,159
HA,1443
DR,421
VM,3237
BG,19879
SL,1193
SF,41897
MZ,171
CO,9901
MY,9390
UZ,175
HK,431
VE,64176
TS,2994
AR,16307
FI,2228
LE,4791
BC,440
CT,185
PL,15547
JM,1468
BL,6078
EG,29630
HR,3526
EN,967
IR,15047
TI,201
RS,56268
RW,462
SI,466
CM,1492
GR,41940
ES,469
RO,13015
AS,86743
AL,3290
MD,2779
AF,3803
PM,1502
TW,3041
AG,3553
GT,1508
RI,3559
LG,1514
ER,235
IC,747
FR,37611
KU,1774
AJ,3568
GQ,248
RB,506
DA,2042
MX,52989
CA,46078
JO,4351
IN,313087
