f0_,LocEvent
256,AN
31232,SA
1,SB
1,DQ
1,LQ
1025,TI
4097,UY
6146,PM
3,TL
515,NS
4,NT
260,SE
62724,NI
5,FK
5,NE
261,EK
4357,CM
81670,PK
7,CQ
1799,GB
21512,KS
5386,SO
8202,MD
12,IO
13,NF
13,PC
272,WS
3604,TZ
14101,NU
1302,DJ
535,GQ
25623,JA
1304,DR
59417,SP
282,PU
66586,VE
27,PF
27,SH
283,TT
2075,TD
6171,KV
28,PG
14620,LE
83484,TU
288,AY
34,IM
94498,FR
1315,ER
1571,OS
2084,JM
2596,LG
7972,RI
3621,TO
7973,BM
38,SV
38,FO
39,TV
296,GL
3625,UV
4649,LO
11305,LY
70954,CH
8747,TH
44,SC
11820,VM
1838,CT
47,KT
47,FM
47,SM
2351,KG
17967,AL
20784,AF
818,FJ
52,KR
15924,ZI
2613,OD
55,AQ
4407,CY
18231,KE
57,AV
25657,PL
11324,ET
10045,BA
25405,MK
575,DO
320,MC
15680,PE
321,YI
3137,AO
66,LS
834,MG
2627,MI
10307,EZ
4420,GV
6981,AJ
4167,CB
22600,RP
329,BT
14155,TS
16971,MO
588,GI
6733,UG
13389,MY
80,TK
2128,EN
52051,BR
4692,SN
1367,BF
42839,IZ
8281,PO
90,TP
1371,MZ
94,BP
95,CW
3169,RW
5729,GZ
3938,MP
49506,IT
99,RM
99,TN
9315,BL
9828,HU
869,BC
18789,CO
51557,SF
2150,ES
2919,ZA
5991,HA
1896,BK
1897,GP
363,LT
1899,IC
3692,PA
11884,SU
109,FG
3693,KZ
3952,KU
7025,EC
114,RN
6770,HK
1140,BX
120,AA
2936,GG
3449,IV
18045,EI
1406,GY
1662,LU
9344,AU
2178,NG
22403,RO
24195,ID
16261,SZ
646,BB
9863,KN
2440,MU
186507,
9868,NP
1934,BN
1424,SI
7570,TW
147,VQ
154,NC
154,OC
155,CV
13469,BU
2206,LI
15521,CI
162,FP
1188,WA
5028,CG
97957,UP
166,VI
1702,JE
5031,QA
1192,UZ
169,AC
1193,MA
14250,WE
1454,MJ
2478,MT
175,NH
431,PS
6064,HR
433,LA
3250,LH
181,MH
437,BD
10678,BO
695,RE
7608,NZ
16312,AM
953,NR
953,BH
2745,GA
6331,BY
189,GK
194,CJ
194,CN
63171,IR
964,TX
453,WZ
1477,MV
11719,CE
20423,BE
123079,UK
456,MN
219592,IN
25033,BG
49867,GR
462,VT
11726,CU
207,MF
6863,ML
39119,AS
8913,RB
210,VC
2770,MR
47058,CA
9428,GH
2261,RQ
5333,DA
8406,AG
6616,NO
20698,SW
152028,IS
9693,JO
54750,EG
479,GJ
1504,SL
24033,YM
24034,AR
71907,GM
5348,CF
68581,MX
16102,NL
487,MB
1511,CS
4593,SG
722163,US
246,ST
5622,AE
7926,HO
4855,FI
1784,CD
1275,PP
131837,RS
64509,SY
766,WI
6655,GT
