EventLocation,AvgTone_Extern
NT,-0.67598371502225207
AU,-2.3166023251822376
MA,-1.7084559015287428
ZA,-1.9906035126359329
VM,-1.9130080465559374
GR,-2.6648892477095236
LT,-1.1198701565719802
VT,-1.630181038800264
GZ,-4.2557883657983231
AJ,-2.6599322515546207
BF,-2.745566843839895
CY,-1.523538064234083
JA,-1.4238438717909043
AF,-4.6553775869638043
IV,-3.1329784873426152
VI,-2.6586871080996239
FI,-1.7742434224485775
MC,-2.0968914205147695
UP,-3.0828070820365472
NU,-3.7363268108038135
YM,-3.8075819881493254
IM,-2.2783187844212973
RM,-1.5810813913466912
CM,-4.5894145325194637
GG,-1.8033405298288721
RP,-3.8934319809425237
ML,-4.0012264415772192
UK,-1.9634092990586214
EZ,-2.1506634197166035
IT,-2.2677890342756806
FQ,0.88858416822733177
NO,-1.9741635671526403
TL,-0.084481529758063348
PM,-2.3650523237851173
IO,-1.7189733440043244
GV,-2.5718408249343607
JO,-2.8799193098129976
KZ,-1.7794584872854475
SU,-3.4880020753414551
OD,-4.6993119340638012
SF,-2.5901791627673596
MI,-2.0198338270215075
NS,-1.449668576871217
SG,-2.4661161986454805
BM,-3.4201227553075975
OS,-2.5986985424106064
DJ,-2.4499116270109247
TX,-1.365783681719368
RQ,-2.7257340082976653
CU,-1.1615297966498903
MZ,-2.1067805465738636
MY,-3.1865284356272996
SV,-2.0260805613424919
TU,-3.8204704523313349
HR,-3.0624578688625848
KG,-2.3405607587662951
DA,-2.3247838146542912
LI,-1.6945407656022349
BG,-5.2132806594353847
KT,-4.4396071153989931
TS,-4.2674874407472014
MN,-0.31993871398803864
UZ,-2.514174629600872
VQ,-2.2550329213207059
VC,-1.0405274957084265
TN,-0.58332129540602373
AN,-1.5918799835483137
BA,-3.1038246987412612
JE,-2.0463240275591725
SB,-1.180261303291348
BP,-0.90629119444035144
MF,-2.955214017433176
MX,-2.7351336352100888
US,-2.3581844063883204
LQ,-0.13877341503556029
MG,-0.47350456482549036
EU,-0.2916107072559
NG,-3.7624613484912786
PK,-4.3951647142441015
CR,-1.9170101958166454
NR,-4.4152157777208894
SW,-2.4290010291593571
GP,-1.7904719841867713
KE,-3.8155346643718064
WZ,-1.4733692364236275
YI,-4.5704567516816565
AE,-1.0447772941988338
WS,-1.1384907090090652
FM,-1.4275128095252352
TW,-1.4525147898446857
MJ,-2.2472278179598923
NF,-1.37797379899972
BB,-0.41039051137053828
CS,-1.5305969573772731
NZ,-1.225761127590185
RI,-2.91779902241098
FJ,-0.72850929226502992
SC,0.73055030223359363
BD,-1.5053181194203935
LH,-1.863003781830233
CD,-3.534418461619298
LG,-1.5398540968314456
EC,-2.2507927965111967
JQ,-4.2315637802991048
JN,-1.5118313184383483
IZ,-3.9378362820718875
IN,-2.3975480723511717
KR,-2.0299056861098648
MB,-2.368416792862702
LS,-1.6683986956245949
CN,-2.1024284004153353
AV,-2.6433956661582894
MO,-2.35057842817949
OC,-1.3365124167892872
CF,-4.2854735787651332
WE,-5.0345600959499475
GK,-1.3390756347210147
GQ,-2.2467820188291276
NE,0.48469343295895018
FR,-2.7284164081923157
CA,-1.5054059010582552
PA,-2.0962370754749573
TH,-3.3870439709008937
SO,-5.5956297931352328
MP,-1.0424363518152346
CB,-3.1972265193237135
KV,-2.6143154204000059
LO,-2.4208973240371865
TO,-1.7132716117424691
LU,-1.8127357109333049
BY,-5.5153486940583365
GM,-2.6709781257596195
NC,-1.1118965864762047
SI,-2.1818738203287595
BH,-1.819824921517887
DQ,-1.6520477716711781
FG,-1.3294371225767392
GJ,-1.3430470083859285
DO,-2.193028456993007
BE,-3.01181234574645
MV,-4.1669320225927171
RW,-3.3755477423916722
AY,-0.61895553339735776
CT,-4.5887105908279509
PS,-1.2991030330917233
HQ,-0.7639839899743418
CQ,-1.4053329725888992
BU,-2.343793845303987
AG,-2.8959391475211622
KS,-2.2478084331856403
NL,-2.1396381504420452
UV,-3.7292227298892051
CE,-2.7617353364112636
KN,-2.3532342071889678
PU,-1.1600319944445026
PP,-2.8652529054321931
GI,-1.6683673007663677
WA,-1.2216018115433847
MU,-0.6807072826271332
RE,-1.8722912039753203
EN,-1.2306513354070914
PL,-2.220734156882247
UY,-1.6136942282325224
BK,-4.6492190249773868
WF,-1.7601221848992941
FO,-0.84644873404311283
GA,-2.2561077806268046
MT,-2.3842261527110864
WI,-2.1477460784317488
PF,-4.2008078134936468
AO,-2.5624806028735145
HA,-3.0621351795308538
PO,-1.4135443573010513
LA,-1.4540098618247093
SM,-0.77401755325796218
AA,-1.73351538733501
AL,-2.75837865372641
ES,-3.6171431114112296
PG,-2.6392305513939132
AM,-3.3000947088221251
BC,-0.24534960384329282
CJ,-0.76140136414098836
RS,-3.0096981418792863
BQ,-1.523928938170936
ET,-2.664614345011604
MR,-2.0871134237877942
ZI,-3.2175077977632589
AS,-2.1550906365994145
TD,-1.640742760740391
FK,-1.3444732483288033
RN,-1.6356302503051243
MH,-1.6653323364935264
CH,-1.6776791339759716
TK,-1.00092829345751
HO,-3.3742886297176238
BN,-2.0467945035687087
CO,-1.8049692055117055
QA,-1.9393513854421738
FP,-1.7284006493938591
UG,-3.5709872231221071
BT,0.10667628180076456
DR,-2.7554991595103906
GT,-3.924459620008109
IS,-3.7338864354171761
SA,-2.7039896137340405
LY,-3.7441870023264681
MQ,-0.15451060938639832
NP,-2.3393160725986517
PC,-3.7060310682600153
EI,-1.547705721153924
KQ,-1.6992531946155465
ER,-3.6366532257784878
TT,-1.3811501080774036
SL,-2.9870491373339272
RO,-3.3658872242161841
IR,-2.8747100951155078
PE,-2.420807612648801
RB,-2.5357553142433762
GY,-2.0030463472141991
EK,-1.5720057108077885
MK,-2.9762622128108043
AC,-2.0324186552068775
SH,-1.7754456634816675
BV,-0.50718260219944855
JM,-1.6269951574290369
WQ,-1.6664723833646431
SE,0.51375979503225688
TP,0.018389880201755041
CG,-4.443224737227168
GL,-1.1357107619724782
TI,-2.5169216387434763
VE,-3.5000119570569375
ID,-3.6155804687832944
TV,-0.94267429740567976
MD,-1.8185763018133934
BX,-1.7920367986375156
NI,-4.4424275836114164
NH,-2.1456145450195825
SN,-0.83176757721236094
SY,-4.4055426602433583
AQ,-1.0305668336289253
GH,-1.3225067914340418
HK,-1.79282991121928
GB,-2.4556860831361664
CI,-2.5110873083902336
BL,-2.043762163770344
IP,-1.8224971034317186
KU,-1.6050504239182248
TZ,-2.3316455640123439
TE,0.059515255633376174
CW,-0.43361232326708982
BR,-2.9270705852823715
IC,-1.3301865364266785
ST,-1.2301693451919369
BO,-2.2625180865914785
SP,-2.3462532060460424
LE,-3.4797487059320336
SZ,-2.1723925415609009
CV,-1.3076808935558126
HU,-3.2958521308188251
AR,-1.9759992108587994
EG,-3.4552128234205286
