FIPS,Average_tone
TU,-3.2753893994553005
SC,0.99583288072204135
PK,-3.8068238654444753
QA,-1.615440913586137
CR,-1.917010195816645
RE,-1.7707748354929405
FJ,-0.40600401517392726
ST,-0.26887602498309754
MH,-1.5366590817991714
JN,-1.3599114473073948
IM,-2.2673870192450472
CN,-1.8402566152086912
FQ,0.86996947288259585
RQ,-2.6902369309310514
MK,-1.2536232810744758
CV,-0.77953945081468479
BF,-2.0174912861164911
SN,-0.89356148992987083
TT,-1.4045677858470158
LE,-3.0583313950314293
KV,-2.2660585986888373
AL,-2.4274712446791038
SB,-1.2024440669669167
GA,-2.0626849804463823
GI,-1.3166223045470731
WZ,-1.2767605141368055
SI,-1.3765651546615805
NI,-2.6937937275776056
NS,-1.3464369721032434
VQ,-1.9322601370235342
FK,-0.95280878686851844
TP,0.16829629369709753
CM,-3.960504588722626
MR,-1.8491802474646344
IS,-3.6879053176684877
RP,-2.9577756544636586
GG,-1.5150497661455291
PM,-2.1887860071245666
NT,-0.71564763429472456
GQ,-2.1781589973711015
CW,-0.0025488092780994124
TS,-3.9151876437999453
MG,-0.2751580434248756
FP,-1.5363892285306442
ID,-2.5043147920699842
IO,-1.7206189967373942
KN,-2.3433069241812521
PF,-4.15477646460825
TV,-0.90578959495318245
NF,-1.3355206093865108
MO,-1.6035277134871755
GJ,-0.83308968729595734
SA,-2.3587169209958305
HK,-1.7905538054621304
YI,-3.8776014036261506
KR,-1.9637784186363272
ET,-2.60099686415416
LT,-1.3049610460191119
,-2.3564617917640334
ES,-3.3917816703044132
GK,-1.3078152900463966
CE,-2.2235746008896653
AE,-0.14991605814173103
NO,-1.9007074807153614
KU,-1.1410300347481757
DJ,-2.3004267155204845
GY,-1.9283254324304686
MA,-1.4821201374646311
CS,-1.3882934840448713
EG,-2.4089329398064554
OD,-4.5601734726677838
PP,-2.6182826526570273
MY,-2.6639565691201259
WS,-0.80697579678886855
CY,-1.2789497075601848
AS,-2.0274476240292771
EC,-1.9643155482709722
TK,-1.1506529893015527
AF,-4.6183330526075324
FG,-1.3166596427255151
BY,-5.3561674572742062
PE,-2.075179033473975
GH,-0.9246959045503419
IV,-2.7177000002125125
BO,-1.8170640547880976
NR,-4.3933438665800013
US,-2.640429008684305
AG,-2.38651674077041
TZ,-1.8945458981478853
LA,-1.3252125367247711
BV,-0.48436800146277104
CA,-1.6629260653093525
MN,-0.20415651254215827
PC,-3.7226655663868913
DA,-2.11625165078713
GL,-1.1173319482542374
CG,-4.03364295987995
RM,-1.4689699091461543
NE,0.36922865421148537
MF,-2.793238643280104
AO,-1.2653340610586574
PU,-1.1140218683711915
TO,-1.5558056529781414
AA,-1.6776907725769727
BE,-2.7316040553678906
IZ,-3.8126957600604015
WQ,-1.4271261861664497
AM,-1.96267163604946
TN,-0.38108981714749013
BK,-3.9427166255947776
MZ,-2.0338634013573067
AY,-0.62635811646601824
MC,-1.7585062731482173
UK,-1.8388681541422931
BH,-1.782237817083681
BD,-0.90477695464710572
ZI,-2.8943093063511278
SY,-4.36466816811758
PL,-1.8104556652722015
BU,-1.2456377171483652
BR,-2.2956759255360439
PA,-1.8715245086356611
MV,-3.845168945976901
IP,-1.7709338746263941
SW,-2.3385332666790206
HO,-2.8868357459654104
MT,-1.9908567564804063
RO,-1.9237631977194389
UZ,-2.2760781264921106
RW,-2.9333759606525556
HQ,-0.83091065618729432
TW,-1.3266015009808863
PG,-2.6276235093772553
UV,-0.95832584879214411
CH,-1.4455034615355187
CF,-4.1126722449583388
WF,-1.0702956114937912
LO,-2.22779053607168
VM,-1.2962026567629539
LI,-1.2607352142301798
HR,-2.1640598815716188
IC,-1.0375133916369408
LY,-3.6220482834274583
SL,-2.32041349882092
OS,-2.5550088363585073
UY,-1.4869598023899655
SZ,-2.1095837258220782
BM,-3.3405119959802341
EI,-1.5152459719751279
GZ,-4.1922130896682672
AV,-1.1369354171440362
FI,-1.6776548605588071
SU,-3.276485490525086
ZA,-1.3904008953242115
BL,-1.9129160280732751
MP,-0.98298484107398276
CD,-3.42862935853021
BN,-1.8166127825461049
WE,-4.9767102867575748
PS,-1.2692769148146268
RB,-1.9191741658252586
BX,-1.5133858491662215
EK,-1.5959754311800185
TH,-3.1324920744415028
VC,-0.90995832800735932
AU,-2.1561916755110557
LG,-1.2004258866021618
MD,-1.2238280328038489
TI,-2.156528234609703
FR,-2.6698974146440744
DR,-2.5689533146599293
MU,-0.25268413998192857
KG,-1.6164911383016223
JE,-2.0406634913746329
MI,-1.9191373854352776
CU,-1.1531969781064724
CQ,-1.3209378074525266
HA,-2.9122060196189214
TL,-0.082755319519406872
UG,-3.1950069127012117
UP,-2.8119822592807044
BP,-0.65928983840109523
CI,-2.3248023630089376
KS,-2.0719534782586848
DO,-1.9394423641977152
MX,-2.1525884671119577
TE,-0.65710193887557744
AJ,-1.3500981657996405
AR,-1.5988625053112064
AC,-1.9835579232679936
FM,-1.1921928421217174
SG,-2.0440094954417574
SV,-1.9554395785364975
ER,-3.3691913383363623
GM,-2.558023985554704
JQ,-4.2839079405940428
BT,0.17563857151828652
NL,-2.0424548662681752
GB,-2.0835739768446793
MJ,-1.773293000091148
KE,-3.3452874275296085
JA,-1.4110879558245415
NC,-1.059172587997343
SH,-0.93012332155680943
TX,-1.1418612019773942
BC,-0.46417031653912477
LS,-0.1322544042256536
RI,-1.2803203551604876
NH,-1.7637578947957404
IT,-1.7863908209807711
GV,-2.1973221913191279
SP,-1.8527034217184373
CB,-3.00239458875704
LH,-1.4324634807124617
KQ,-1.6992531946155467
EN,-0.85603869624432549
LU,-1.4768325679211749
GT,-3.6378896573484019
RS,-2.8564227805621432
KZ,-1.4939373202083339
CJ,-0.690103502995358
AN,-0.96834496448630725
VI,-2.5646676243757915
BG,-4.0245423784248153
LQ,-0.28965301822734413
CT,-4.2738323142568557
CO,-1.6352614788191207
SM,-0.24471437194836929
HU,-2.7877038134879268
NG,-3.4580227547729545
FO,-0.72951854764542312
WA,-1.4505741663434879
OC,-1.3345141695198812
WI,-2.0905870575413221
NP,-2.0363338088161895
KT,-4.3919681012718241
YM,-3.6998030829293054
VE,-2.7449800717450294
DQ,-1.6491907911261299
TD,-1.7359865056945776
GR,-2.1093224944464883
BQ,-1.9423624186549713
GP,-1.80464356562603
BB,-0.44625207739426065
SF,-2.4827208754467738
SE,0.71184628482597723
IR,-2.8316812506124123
ML,-2.8758950754715795
BA,-2.1502456594609782
RN,-1.620213795189857
MB,-2.316192863288693
EU,-0.2916107072559
NU,-3.0926248928669877
AQ,-1.0550089038297248
EZ,-1.8609006817290459
SO,-5.0397587753687629
VT,-1.5883806457412488
IN,-2.287743705706426
NZ,-0.87200068915462858
PO,-1.2262181658352371
JM,-1.1710539792104113
JO,-2.3529817954469463
MQ,-0.15451060938639866
