FIPS,EventRootCode,AverageTone
SZ,19,-5.2978487662888991
RQ,05,-0.18266345621705643
KN,19,-4.2123295013197284
LH,05,0.47798397318859087
TD,15,-2.4642363392347133
CM,15,-4.0030023088528495
SF,14,-4.4256651481998093
KV,15,-2.3804030889313261
TZ,15,-1.9603417288708087
DR,19,-4.5194823064811382
GI,19,-2.74922205801092
TI,05,0.46635597903838516
BC,15,-2.9303819239194255
BP,19,-4.20561703807625
GR,14,-3.1774046666431413
GK,14,-2.48070043306345
LS,05,1.1468111993574064
MF,15,-3.7052956825669852
TZ,06,-0.46919146461238459
IC,15,-1.5513857016535044
CK,06,-1.9057370627752233
GA,05,2.0803915932927421
DJ,06,0.77983176312950209
KS,15,-2.2913749481249464
RE,15,-4.0306208125427831
ID,05,1.3080297962655947
JM,15,-3.2002089628706822
AR,15,-2.9492027060102926
LT,06,-0.70425906595087451
MC,06,-0.89459342469517567
SH,14,3.1300412068231505
LG,06,-1.1451406667177659
BC,14,-2.3834049024407933
BK,14,-4.7510728047115274
MF,06,-0.38659636596591579
SO,19,-5.7595897838080115
IT,19,-3.6327467216250979
AF,14,-5.1377687236924068
KZ,05,0.72782845894145187
CI,05,-0.74246289971742374
MH,15,-2.1160957385078429
BH,05,0.9313048726980877
BF,15,-1.987483100101983
CK,14,-4.6390866824568846
WA,19,-5.1469290959200924
ZA,06,-0.28836910010970229
PK,14,-5.0219451349496778
TK,06,-1.85926254763864
NZ,14,-3.1530741798516964
LG,14,-2.692253128754265
TK,19,-6.3605811955889262
MI,15,-3.4492394090126606
BX,15,-2.8419161516354539
EC,15,-3.1453501431352189
MV,15,-4.8817663777333662
FO,05,1.994278300026558
WS,15,-3.0394710845572317
HO,05,-0.040354714273173192
EG,05,0.6203623896640833
CN,15,-2.0993642745809797
DA,05,-1.1443408016603245
TI,14,-2.3032437205367349
GI,05,1.2825902002871254
WZ,15,-3.1282658557871854
SW,14,-4.9450690351724473
JA,19,-4.5943485329563716
GB,14,-2.4263475352968205
DO,05,3.4140127847225346
VT,14,-3.72771225132197
ML,15,-2.4770857079200446
MG,06,0.085034191524971325
EC,19,-4.5257565834498088
CT,19,-4.4726907215801281
AC,05,0.82623686233769844
ZA,15,-2.1116541581813721
WZ,06,0.097232474369466929
MN,19,-5.3859582711801615
PC,05,-1.6192787218382598
FM,05,3.7700821733962013
NG,06,-0.72203211066810458
CH,15,-2.3807963205545311
MU,14,-4.3205085135616041
LI,14,-1.9265341278074182
NS,19,-4.4992368381266905
GH,19,-5.7487647238696393
GL,15,-1.1505186801657865
VQ,05,-0.22175404061582016
NZ,05,0.057493777181597538
SA,06,-1.1463254242629028
HA,06,-1.6812244462966619
SY,06,-2.6604817715987297
NU,06,-1.0376502586968617
SU,06,-2.5154856822181695
SC,06,1.105723077418816
TU,14,-5.1083632145146671
VI,06,-0.021450596951213537
TU,15,-2.7305949868046149
HK,19,-5.986757704935961
KG,19,-4.30880287034671
SN,06,-1.4168940272925223
SH,15,1.2048146620821412
MB,15,-4.5548307176591294
TI,06,-1.0135194683101545
US,14,-4.0207336579998216
MU,06,-1.0172747565078084
UZ,14,-1.9484331041593732
IO,06,-0.49801267023459
KN,14,-4.1569730306358412
FR,15,-3.8003253187240547
KZ,19,-3.8562752039835413
BX,05,0.62302124558828631
GM,06,-1.2286052775727188
AL,19,-5.110322946864331
NE,06,-2.6546520947536187
MJ,15,-2.4143268798789252
MD,05,0.20266113723453136
AU,05,-0.67335967718635736
LT,15,-2.1014453460297058
IO,19,-3.2892660233785658
MR,06,-1.7120921603245765
IZ,19,-4.7933125513317849
RB,06,-0.75365517391199166
TP,14,-1.9989989455467065
TL,05,1.26849894291754
RO,15,-1.9952203046380403
CY,14,-3.1346096921178708
TO,15,-2.8913847238198191
GL,06,-0.70606615030708375
KU,06,-1.4247517824208913
RE,06,-2.0796369724122221
HR,15,-1.9651192895279108
MA,05,0.73929716351558616
FP,05,1.2036549937412679
OS,05,1.745953778082701
IV,05,1.0483037591174234
ML,19,-4.2946440280647762
CG,14,-3.0625026140509766
SZ,14,-4.2745182033077915
UV,15,-0.22729579122334725
SW,06,-2.2904668846626204
LI,15,-2.2620996480750093
MI,14,-3.0159493586162718
VI,19,-4.36746008368451
ES,06,-1.7021053067202261
PE,19,-4.8634335574484648
AC,15,-1.1388882590439942
RE,14,-3.7861079204314336
NL,06,-1.314518677610456
CD,06,-1.395935013274906
GB,05,0.81069655766733306
RI,14,-4.0416496573419192
GP,14,-6.95652173913044
MR,14,-3.8572110154195616
EN,14,-2.5896332597521776
CU,15,-2.7071824742073356
BB,05,0.84901651338859951
SA,19,-5.5633475475122394
GR,05,-0.41381052811304875
GY,05,-0.49981172093008952
LA,19,-5.95382329181856
PE,05,-0.36000520525068341
ZA,05,1.2815641146873489
LA,05,3.6646107881435563
PE,15,-3.040721059163964
TK,15,-3.5349037248064668
GJ,14,-0.081477729506582192
BH,06,-0.68048082526971021
RS,06,-1.8391848674517581
BD,19,-3.0489154808949444
AU,06,-1.8429106189979385
MC,19,-5.1950389287252863
MV,14,-5.5458921205033977
EC,14,-3.6367157695121466
AN,15,-1.7554430658721905
VI,05,0.82515898449598346
MP,15,-3.4890535793294761
GT,19,-4.8776026791354585
FI,06,-1.3523036057180069
MD,15,-1.9072070075002567
HO,15,-3.2302854675001647
ER,15,-3.5123434994558296
KE,19,-5.7078514824310558
CY,06,-1.0586131002671835
UY,19,-4.1467724065104834
BU,06,-1.3972819841175605
IR,05,-1.5593723797186645
TN,14,-1.7280665458418525
RW,19,-5.2864366176983086
PP,19,-4.7882248926067934
CY,15,-2.5429106948365967
VM,14,-1.9361053288475174
CJ,05,1.1146232348357283
YM,14,-4.0241810393998181
NI,05,0.095177948902144482
ST,14,-1.3860599541137906
IM,15,-1.2783548326213199
BN,05,0.67609972594504508
CI,19,-4.8005678008205779
EZ,14,-3.2281548150056829
TP,05,1.7279909444795403
EC,05,-0.32848134244674576
MO,19,-4.1333703851199894
US,06,-2.0873571471481553
MK,05,0.49562938330771422
CH,05,0.8452902938049025
MO,14,-2.9696495715710967
GP,05,-0.57200386782264323
RS,05,-0.82054458441001354
SY,15,-3.4744827667334368
BE,14,-3.9642394829814291
ER,19,-4.7145481382025816
AG,05,-0.39700464597219148
SL,14,-2.8443007152565576
GQ,05,-0.13423806269471011
GQ,06,-1.6439769546935621
NG,05,0.73325800387512263
GR,06,-1.2269167365131617
CA,14,-3.734005039677105
SI,15,-2.1149564569360226
NP,19,-5.7778769643323438
AF,15,-3.0552546222917156
AE,05,2.015086556197939
KV,19,-5.6060358192338891
NC,05,0.91400975030006748
FP,19,-5.11022957929247
BA,06,-0.20698170579384864
HA,15,-2.3361691869793666
EZ,19,-4.1311949657667517
EN,06,-0.66090516198242977
CO,14,-3.8920380481556713
PA,14,-4.0277829702692758
BE,19,-5.1615172211846581
FI,05,0.093262798638118469
RB,05,0.4396498626377226
GM,05,-1.0216173169472229
IV,14,-2.9698651989060942
MP,06,-1.20735961916454
GV,19,-3.7711250074365643
MZ,05,-0.20559362165102915
ET,19,-5.150427785869538
GV,05,0.29179890433763672
SG,15,-2.8117528666047056
NI,15,-3.3042913368846429
LY,06,-2.1149516554454006
CI,14,-3.9476679574657196
GH,06,-1.1036065314889658
MI,06,-1.1218820163084766
MX,19,-4.4231869738317977
EG,14,-4.2590177816427515
EI,19,-5.17134415225198
OD,15,-2.2623617591054126
BP,14,-0.50643651041956839
FJ,06,0.95790653439737483
ST,06,0.24610219324753016
PA,06,-1.2483012471118997
BB,06,-0.41689285139866156
TN,19,-3.983104624041534
MI,05,0.713705632868343
SE,19,-5.7022763121303042
