EventLocation,AvgTone_Intern
ZA,-0.82240648363469171
LO,-1.8060902034567163
AL,-1.5909279280774606
CW,0.57964768215302709
RO,-1.307121628930638
HK,-1.581273959803154
VT,0.2136863333410112
LY,-1.7574466084726865
IC,-0.85522266096706789
CV,-0.049409810436437121
BM,-2.3206370926864373
KS,-1.404463047622365
TS,-1.5000105751966974
CE,-1.5881141702112391
TT,0.42635941633562824
MC,-0.47271930244210036
SZ,-2.03523110101583
AG,-0.96244848741866529
MR,-1.2768150766465511
TX,2.6521333783230294
CA,-1.8050462315616989
LS,2.4596094703401437
TW,-0.86611039076614182
RI,0.48666340510360412
GL,-0.58222418714978641
FI,-1.7300420918156498
GA,-0.79941462987835543
JE,-1.5147113359384392
BG,-2.4303871807863389
SW,-2.0947371013426666
BE,-2.1901517776806343
MF,-1.9570467887802492
MB,-1.6636272692994893
SH,1.6908323611731808
DJ,1.7986541006914731
MV,-3.7810150851527791
BN,-0.17634199937030728
OS,1.1629184859875539
WZ,-1.0978906165000202
TU,-1.6041009841178162
HA,-1.1764178901083677
US,-2.7156400226471682
SA,0.9747734438909198
CB,-2.43697734346491
FR,-2.2385354566512405
ZI,-2.281869252058963
EZ,-1.6305107944875195
BX,2.0908933921650634
KZ,-0.5963591396106529
VM,1.1418494991893198
FJ,-0.042261349757959893
NU,-0.60205004328082334
MK,-0.76368084583003248
BR,-1.5265840907669308
TI,-0.63958277582148371
AE,2.6048043693500391
BY,-2.9313419457641663
NI,-2.0900462073328687
LH,-1.0828423815549741
MY,-1.7657811401774528
PM,-1.1634820125826557
AN,0.26097194507812232
CI,-1.6300620663225873
ER,-0.60254110273320982
RQ,-0.64615068789270935
NP,-1.5779349306455317
AV,1.779854293861709
MN,-1.0163213138165899
BD,0.098354370022109713
UY,-1.2262587956395035
GG,-0.70509978716070221
SY,-3.8457895686067576
SE,1.8257591951384142
RW,-0.56455510515569818
WE,3.0368489037843869
TO,-1.4059884742188102
TP,0.36868717936424611
WS,-0.50169350022741044
HO,-1.7178216413538505
TZ,-0.75377423370820784
TV,-0.34547039181780703
GI,0.4295421950163486
BP,0.20810430359687204
ST,0.48802328996714894
CY,-0.63963775307095583
NG,-0.28111237465928218
BF,-1.0132825648645625
IT,-0.60355250130582994
UP,-2.524274540677514
