LocEvent,EventRootCode,NumberOfMentions
RS,--,4
JO,--,3
JA,--,7
,--,14
ES,--,4
AS,--,5
CA,--,5
RQ,--,10
US,--,131
PK,--,4
NI,01,2101857
AR,01,632821
BH,01,42982
SM,01,1850
TD,01,68832
JN,01,20
CD,01,86920
IO,01,425
SV,01,2766
LI,01,98184
CY,01,203890
LS,01,6211
NR,01,50080
LT,01,18802
TU,01,3492751
IC,01,90077
TH,01,459463
EI,01,951860
BN,01,36315
TN,01,10533
JQ,01,171
EC,01,203187
CE,01,222227
IS,01,3814196
MO,01,298879
TT,01,11807
BO,01,246577
RS,01,6907574
HA,01,185220
BR,01,985769
BM,01,234317
RQ,01,195673
ID,01,1141935
WZ,01,14524
PL,01,716764
CV,01,5614
VE,01,934438
AA,01,6231
KU,01,188713
AE,01,349657
US,01,57803107
AS,01,5752468
JO,01,412379
KT,01,5078
CS,01,45333
GK,01,10626
,01,10004283
SN,01,350094
DJ,01,37710
PC,01,1421
YM,01,606584
EG,01,1525020
CM,01,91719
WA,01,61759
MP,01,107175
BL,01,185809
ER,01,44582
SH,01,517
AQ,01,4946
TZ,01,132465
AF,01,1273179
SF,01,984081
KZ,01,135290
DR,01,47083
MK,01,486708
UK,01,7653758
IM,01,2116
SY,01,3114419
MC,01,14652
MY,01,644956
HR,01,221456
EZ,01,267137
BV,01,9
MI,01,71906
WI,01,9467
PM,01,204330
ST,01,7864
RI,01,238833
KN,01,1277582
LG,01,127854
ZI,01,449238
SA,01,1419038
ML,01,218345
AU,01,395267
AG,01,157869
GH,01,537063
BG,01,791767
EN,01,112299
MV,01,46298
WF,01,14
AV,01,3001
PP,01,58472
GP,01,26886
MD,01,115021
FI,01,280587
CJ,01,14882
WE,01,229534
TO,01,28521
MF,01,1798
HU,01,385602
FO,01,1805
HK,01,147168
CG,01,43795
UY,01,106816
SL,01,66257
TV,01,3266
SW,01,850243
CO,01,553756
BP,01,7978
NO,01,301328
SC,01,2355
UG,01,218768
QA,01,277116
UZ,01,68372
ET,01,171370
LU,01,74960
KG,01,68496
MJ,01,30991
OS,01,63198
SU,01,263747
RO,01,627247
RN,01,1890
IV,01,67671
OC,01,8566
IN,01,3711977
LE,01,465569
TL,01,440
NH,01,15909
BK,01,52714
PF,01,1040
PE,01,356803
BX,01,102797
BU,01,339730
FQ,01,3
JE,01,112564
SB,01,86
CR,01,18
HO,01,153112
CT,01,58800
TW,01,220220
UV,01,288830
TI,01,36177
PK,01,1839215
TK,01,5669
CF,01,98003
GQ,01,49221
RM,01,10194
BA,01,123601
AN,01,11307
KV,01,116771
BC,01,48295
BT,01,21586
DO,01,17610
MB,01,5182
NT,01,139
JA,01,1327966
RB,01,205698
BB,01,34986
AJ,01,252372
MT,01,124639
FG,01,1931
DQ,01,13
MZ,01,51995
HQ,01,68
TX,01,34415
CI,01,382877
CN,01,4480
SG,01,96295
PO,01,291422
ZA,01,109775
WQ,01,120
BD,01,28396
FP,01,3688
AO,01,109745
NF,01,899
GL,01,18130
FJ,01,68049
SE,01,15910
CB,01,159019
MU,01,91308
WS,01,20711
RW,01,106060
PA,01,78672
GY,01,62602
IT,01,1826979
KR,01,7957
GJ,01,13225
JM,01,160938
MX,01,2053062
GM,01,3033385
NL,01,553625
UP,01,1822076
MN,01,21630
VT,01,57550
OD,01,119547
VM,01,427204
CH,01,3804974
PU,01,5180
IR,01,2435953
NZ,01,490183
AM,01,370412
TS,01,255752
YI,01,5214
SI,01,96181
BY,01,96600
GZ,01,64547
SO,01,402232
FR,01,3571325
TE,01,7
NU,01,101608
BF,01,84524
GG,01,44762
GR,01,1449464
PS,01,9239
GT,01,157304
VQ,01,10608
TP,01,1688
GA,01,93988
CW,01,4636
CU,01,498392
SZ,01,681168
MR,01,32906
AC,01,15410
MH,01,5593
NG,01,91790
RE,01,21068
NC,01,3486
LQ,01,3
CQ,01,993
NP,01,274652
GI,01,27725
AY,01,15796
MA,01,27571
PG,01,1750
KE,01,487096
LY,01,476348
BE,01,986794
FM,01,9749
GV,01,63625
EK,01,12542
NS,01,8148
RP,01,1198026
NE,01,843
VI,01,7414
LO,01,101127
MG,01,34720
AL,01,358374
LH,01,150212
IZ,01,1552148
SP,01,1667417
VC,01,8739
FK,01,495
KS,01,1014756
LA,01,42562
GB,01,25152
DA,01,306963
CA,01,3407194
ES,01,86923
CO,02,342451
MA,02,16768
BM,02,103801
GT,02,105252
LO,02,57099
CQ,02,798
GV,02,43550
RN,02,986
YI,02,3559
BC,02,24380
AJ,02,100042
IR,02,1028055
PC,02,649
GI,02,13589
CY,02,127756
AY,02,6952
EN,02,56977
